,API Name,API Url,API Cat,API Desc
345, Xverify,https://www.programmableweb.com/api/xverify, Email, The Xverify API allows developers to integrate Xverify's real-time email verification platform into their applications or systems. It checks each email address to make sure the username is actually...
346, Serials Solutions Summon Cover Image ,https://www.programmableweb.com/api/serials-solutions-summon-cover-image, Library," Serials Solutions Summon Cover Image API is a resolver that takes URL format and returns the cover image based on the client preferences and subscriptions. This API does not produce images itself,..."
347, AlchemyAPI Combined Call,https://www.programmableweb.com/api/alchemyapi-combined-call, Natural Language Processing, Alchemy Combined Call API is only available in pro and enterprise packages and is used to analyze posted documents. The call processing analysis uses various features after the call normalizes and...
348, AlchemyAPI Microformats Parsing,https://www.programmableweb.com/api/alchemyapi-microformats-parsing, Tools, AlchemyAPI Microformats Parsing API creates a platform for extracting Microformats-formatted data from content. Mircroformats content is extracted through processing calls made to specific web...
349, AlchemyAPI Feed Detection,https://www.programmableweb.com/api/alchemyapi-feed-detection, Tools, AlchemyAPI Web Feed Detection API allows for the extraction of links to RSS / ATOM feeds that are embedded in web content. RSS / ATOM feed links are automatically extracted from targeted webpages....
350, AlchemyAPI Language Detection,https://www.programmableweb.com/api/alchemyapi-language-detection-0, Natural Language Processing," [Dupe. This API is no longer available and this page is being maintained purely for historical and research purposes.]
AlchemyAPI Language Detection API creates a platform for classifying web,..."
351, AlchemyAPI Authors Extraction,https://www.programmableweb.com/api/alchemyapi-authors-extraction, Natural Language Processing, AlchemyAPI HTML Authors Extraction API extracts author information that is embedded within web news articles and blog posts. This API allows for the uploading of web content directly to AlchemyAPI...
352, AlchemyAPI Image Tagging ,https://www.programmableweb.com/api/alchemyapi-image-tagging, Data Mining, AlchemyAPI Image Tagging API performs tagging of images on internet-accessible URLs and image files. This API allows extracted meta-data to be returned in XML and JSON formats. Requests are in JSON...
353, AlchemyAPI Image Link Extraction ,https://www.programmableweb.com/api/alchemyapi-image-link-extraction, Tools," AlchemyAPI Image Link Extraction API performs image link extraction on publicly-accessible web-based content and HTML files. Requests are in JSON and responses are in JSON, RDF, or XML...."
354, AlchemyAPI Face Detection and Recognition,https://www.programmableweb.com/api/alchemyapi-face-detection-and-recognition, Tools, The AlchemyVision Face Detection and Recognition Image API accepts an image file as an URL link or posted image file. The API will scan a photo to detect facial locations and can recognize...
355, AlchemyAPI Text Extraction ,https://www.programmableweb.com/api/alchemyapi-text-extraction, Tools," AlchemyAPI Text Extraction Web API extracts text, titles, and other information from internet content and posted text files. This API uses URL processing calls to automatically return a specific..."
356, AlchemyAPI Relation Extraction ,https://www.programmableweb.com/api/alchemyapi-relation-extraction, Tools," AlchemyAPI Relation Extraction Web API performs Subject-Action-Object relation extraction on web, text, or HTML-based content. This API provides URL processing calls that retrieve specific webpages..."
357, AlchemyAPI Keyword Extraction,https://www.programmableweb.com/api/alchemyapi-keyword-extraction, Intelligence," AlchemyAPI Keyword Extraction API extracts topic keywords from text, HTML, or posted web-based content. This API normalizes the targeted text, removing ads, navigation links, and other unnecessary..."
358, AlchemyAPI Entity Extraction,https://www.programmableweb.com/api/alchemyapi-entity-extraction, Tools," Alchemy API Entity Extraction extracts the identification data from your HTML, text, or web-based content. The targeted content is cleaned by removing ads, navigation links, and unnecessary content..."
359, AlchemyAPI Concept Tagging,https://www.programmableweb.com/api/alchemyapi-concept-tagging, Natural Language Processing," AlchemyAPIConcept Tagging concept tags HTML, text, or web-based content. This API is able to simulate human conceptual tagging. The API extracts concept tags and cleans target content by removing..."
360, AlchemyAPI Sentiment Analysis ,https://www.programmableweb.com/api/alchemyapi-sentiment-analysis, Sentiment," AlchemyAPI Sentiment Analysis API extracts positive and negative sentiment from posted web-based content. This API extracts text sentiment after cleaning targeted web content, by removing ads,..."
361, Litmus Customer,https://www.programmableweb.com/api/litmus-customer, Email, Litmus Customer API lets developers access the Litmus services programmatically. Only customers with subscriptions to Litmus have access to the API. Litmus is a software company that offers...
362, Select.Pdf Online,https://www.programmableweb.com/api/selectpdf-online, PDF, The SelectPdf Online REST API allows developers to access and integrate the functionality of SelectPdf Online with other applications. The API lets users create PDF from web pages and raw HTML code...
363, GeoKoala,https://www.programmableweb.com/api/geokoala, Tools," Using the GeoKoala API one can store GeoData/ GeoJson to GeoKoala's servers. Developers can then integrate this API into applications, Augmented Reality browsers, and major Geo Clients (such as..."
364, Datalogics PDF WebAPI,https://www.programmableweb.com/api/datalogics-pdf-webapi, PDF," Datalogics PDF WebAPI is a powerful, secure web services API that exposes a broad set of PDF functionality to web and mobile application developers. Cloud-based, it is built upon proven Adobe..."
365, Google PageSpeed Insights,https://www.programmableweb.com/api/google-pagespeed-insights, Performance," The Google PageSpeed Insights API enables developers to programmatically measure the performance of a web page and get suggestions for how to improve that page's performance, accessibility, and SEO...."
366, GitHub Search,https://www.programmableweb.com/api/github-search, Tools," GitHub's Search API allows you to search GitHub for any specific item you're looking for (users, files, unresolved issues). Each search will return up to 1,000 results and the default sort is by best..."
367, Deconstructed Rule,https://www.programmableweb.com/api/deconstructed-rule, Profiles, Deconstructed is a platform that aggregates a service's user data from any system or connected device using their API. The platform can help map user to device and segment audiences based on a real...
368, Libscore,https://www.programmableweb.com/api/libscore, Library, Libscore is a search tool developers can use to scan the top million sites on the web to collect statistics on JavaScript library usage. The Libscore API is available to use for free with constraints...
369, Yes or No,https://www.programmableweb.com/api/yes-or-no, Application Development," The simple Yes or No API is made for automating boolean decision making within mobile environments. API calls will return a ""Yes"", ""No"" or ""Maybe."" Returns include fun links to comical Gifs, such as..."
370, W3C Vibration,https://www.programmableweb.com/api/w3c-vibration, Browsers," The Vibration API is a simple browser-based device API documented by the W3C Device APIs Working Group. The Vibration API enables developers to trigger the vibration mechanism in a hosting device,..."
371, W3C Battery Status,https://www.programmableweb.com/api/w3c-battery-status, Browsers," The Battery Status API, documented by W3C, is a browser-based API that enables web developers to discover the battery life of a hosting device. This enables web application features to be dynamically..."
372, OEC Time Zone,https://www.programmableweb.com/api/oec-time-zone, Tools," The simple OEC Time Zone API accepts a time zone as an input and returns the corresponding local time. The zone can be abbreviated (i.e. PST, EST) or spelled out in full (i.e. Eastern Standard Time..."
373, Vivek Sentiment Tool,https://www.programmableweb.com/api/vivek-sentiment-tool, Sentiment, Vivek Narayanan proposed a fast and accurate sentiment classification using an enhanced Naive Bayes model along with authors Ishan Arora and Arjun Bhatia. The paper can be retrieved online from the...
374, Codeeta,https://www.programmableweb.com/api/codeeta, Marketing," Codeeta is an online marketing company that provides its customers with tools and widgets to promote their businesses on the web. With the Codeeta API, developers will be able to integrate its..."
375, REFUGE Restrooms,https://www.programmableweb.com/api/refuge-restrooms, Healthcare," Based in San Francisco, REFUGE Restrooms is a resource that provides transgender, intersex, and gender nonconforming individuals with access to a library of restrooms with safe environments. Similar..."
376, Diffbot Discussion,https://www.programmableweb.com/api/diffbot-discussion, Extraction," Diffbot provides developers tools that can identify, analyze, and extract the main content and sections from any web page.
The Diffbot Discussion API extracts discussions and posting information..."
377, Diffbot Image,https://www.programmableweb.com/api/diffbot-image, Extraction," Diffbot provides developers tools that can identify, analyze, and extract the main content and sections from any web page.
The purpose of Diffbot’s Image API is to extract the main images from web..."
378, Diffbot Analyze,https://www.programmableweb.com/api/diffbot-analyze, Extraction," Diffbot provides developers tools that can identify, analyze, and extract the main content and sections from any web page. The Diffbot Analyze API can analyze a web page visually, and take a URL and..."
379, Bugify,https://www.programmableweb.com/api/bugify, Collaboration," Developed by Frondiz, Bugify is a simple issue tracking service that integrates with a development team's source control system, making it a useful bug-tracking tool. Bugify offers additional..."
380, ParseHub,https://www.programmableweb.com/api/parsehub, API Design, ParseHub enables one to extract data from dynamic websites to turn them into APIs without writing any code. ParseHub has a fully documented RESTful API for extracting data from the web. The ParseHub...
381, AlchemyAPI Face Detection and Recognition Image,https://www.programmableweb.com/api/alchemyapi-face-detection-and-recognition-image, Tools, The AlchemyVision Face Detection and Recognition Image API accepts an image file as an input. The API will scan a photo to detect facial locations and can recognize individuals present within a...
382, dandelion dataTXT-SIM,https://www.programmableweb.com/api/dandelion-datatxt-sim, Tools," Dandelion Text Similarity API is a semantic sentence similarity API, optimized on short sentences written in several languages (Italian, English, German, Portuguese and French at the moment). With..."
383, SignalTrigger,https://www.programmableweb.com/api/signaltrigger, Messaging," SignalTrigger is an API for sending messages to instant messaging services from computer code. This can be useful for notifying the recipient when a connection is lost, when a script completes, when..."
384, Senfluence Sentiment & Influence,https://www.programmableweb.com/api/senfluence-sentiment-influence, Sentiment, Senfluence is formed by 2 words: sentiment and influence. The goals of this API are to understand sentiments and to analyze the popularity of websites in 13 languages. When users are redirected to...
385, Dandelion dataTXT-NEX,https://www.programmableweb.com/api/dandelion-datatxt-nex, Tools," Dandelion API is a semantic API to extract meaning and insights from texts in several languages (Italian, English, German, Portuguese and French at the moment). Understanding text has never been so..."
386, Automatic Text Summarizer,https://www.programmableweb.com/api/automatic-text-summarizer, Tools, Automatic Text Summarizer is a service for summarizing text articles. It uses an algorithm to extract the most important points from the original document and builds a summary based on the extracted...
387, szort.us,https://www.programmableweb.com/api/szortus, URL Shortener," The Szort.us API can be used to shorten links. There is no limit on the number of links that can be created, and the links are kept indefinitely. The API is free to use and does not require..."
388, Big Board,https://www.programmableweb.com/api/big-board, Dashboards," Big Board is a tool that consolidates point-in-time events from collaborative work environments, chat services, calendars, and other apps into a single analytical display of cumulative activity. It..."
389, Apple Metal,https://www.programmableweb.com/api/apple-metal, Games," Apple's Metal allows developers to get maximum performance from the A7 chip for immersive console games, which can be ported to the iPad Air. It is designed for multithreading and there are tools to..."
390, Leiki SmartProfiles,https://www.programmableweb.com/api/leiki-smartprofiles, Natural Language Processing," Leiki SmartProfiles provides text analysis services that can identify the meaning and context of pieces of text, even very short ones. This analysis is based on an ontology that includes over 100,000..."
391, HiCaptcha,https://www.programmableweb.com/api/hicaptcha, Captcha," HiCaptcha is an English language Captcha-solving service. Developers integrate the API and submit Captchas to be solved, and HiCaptcha returns the text within 30 seconds. They also offer a profit..."
392, Opera Stash,https://www.programmableweb.com/api/opera-stash, Browsers," Opera is a software company and provider of the Opera web browser, which runs on a variety of operating systems and a range of devices.
Opera Stash is an extension API that extends the browser..."
393, Ideamart Pro,https://www.programmableweb.com/api/ideamart-pro, Tools," Ideamart is a platform that provides developers with a variety of services that they can integrate into their own applications. These services are delivered in the form of the Idea Pro APIs, which..."
394, 3DTransform,https://www.programmableweb.com/api/3dtransform, Tools, 3DTransform is a free service that converts 3D model files to .STL format for 3D printing. Users can upload files with a wide variety of extension types that are up to 6 megabytes in size for...
395, AlchemyAPI Web Taxonomy,https://www.programmableweb.com/api/alchemyapi-web-taxonomy, Data Mining, The Taxonomy API allows users to classify their content into topic categories up to five levels deep. Content can be filtered or grouped for further analysis or to track topics. Narrow classification...
396, The Printers Inc,https://www.programmableweb.com/api/printers-inc, Tools, The Printers Inc provides fine art printing services for artists looking to sell their work online. All prints are printed on 12-color fine art printers by in-house technicians. The Printers Inc...
397, HTML PDF,https://www.programmableweb.com/api/html-pdf, Tools," HTML PDF API is a cloud-based tool that allows users to generate a PDF file from a URL, HTML string, HTML file, or ZIP file. Any data that users upload is secured over SSL and is deleted..."
398, Doodle3D,https://www.programmableweb.com/api/doodle3d, Tools," Doodle3D enables 3D printing with a WiFi-Box that connects your devices (tablet, smartphone, laptop) to your 3D-printer. It also provides a simple sketching tool.
With the Doodle3D REST API, the..."
399, FlatMerge,https://www.programmableweb.com/api/flatmerge, Tools," FlatMerge is an API that helps users share Excel and flat file data. Users can upload their data files to FlatMerge, which analyzes and transforms them into OData. From there, users can query the..."
400, Recognize.By,https://www.programmableweb.com/api/recognizeby, Tools," Recognize.By is developing the means for automatic analysis of data formats such as images, photographs, audio files, and videos. The Recognize.By API currently allows developers to integrate its..."
401, HTC Stereoscopic 3D,https://www.programmableweb.com/api/htc-stereoscopic-3d, Tools," [Editor's Note: This is a legacy API and may not be supported by newer HTC devices.]
HTVdev provides resources to develop ideas and applications within HTC devices. It also enables connection with..."
402, HTC Common Controls,https://www.programmableweb.com/api/htc-common-controls, Tools," [Editor's Note: This is a legacy API and may not be supported by newer HTC devices.]
HTVdev provides resources to develop ideas and applications within HTC devices. It also enables connection with..."
403, HTC Sound Enhancer,https://www.programmableweb.com/api/htc-sound-enhancer, Tools," [Editor's Note: This is a legacy API and may not be supported by newer HTC devices.]
HTVdev provides resources to develop ideas and applications within HTC devices. It also enables connection with..."
404, HTC Scribe Pen,https://www.programmableweb.com/api/htc-scribe-pen, Tools," [Editor's Note: This is a legacy API and may not be supported by newer HTC devices.]
HTVdev provides resources to develop ideas and applications within HTC devices. It also enables connection with..."
405, SurveyMethods,https://www.programmableweb.com/api/surveymethods, Tools," The SurveyMethods API is a REST API that facilitates seamless integration of third party applications (like HR, CRM, Helpdesk, etc.) with SurveyMethods using HTTP methods. Our API makes it possible..."
406, YAddress,https://www.programmableweb.com/api/yaddress, Addresses," YAddress from Yuri Software is a web service that provides address correction, validation, standardization, and geocoding for US addresses. It can be used from any development environment that is Web..."
407, SDL Language Cloud Translation,https://www.programmableweb.com/api/sdl-language-cloud-translation, Tools," SDL is an industry leader in translation and related technology, and provides customer experience optimization services, including analysis, strategy, management and delivery of web content,..."
408, Mozilla DOM,https://www.programmableweb.com/api/mozilla-dom, Tools," The Mozilla DOM API is a Document Object Model for HTML and XML documents. It connects scripts or programming languages to web pages, providing structural representations of documents. Developers are..."
409, Mozilla Telephony,https://www.programmableweb.com/api/mozilla-telephony, Telephony," The Web Telephony API from Mozilla enables web content to handle phone calls from Javascript code. Web content is able to manage the following call functions: dial out, answer, reject, hold, and..."
410, Mozilla Vibration,https://www.programmableweb.com/api/mozilla-vibration, Tools," The Vibration API from Mozilla enables web apps with the ability to access the vibration hardware included on mobile devices. Using javascript, it is designed to addresses the need for tactile..."
411, Mozilla Camera,https://www.programmableweb.com/api/mozilla-camera, Photos," The Camera API from Mozilla enables the ability to upload pictures taken with a device camera directly to a web page. Utilized with the File API, which accesses the photograph, you can create a URL..."
412, Mozilla Gamepad,https://www.programmableweb.com/api/mozilla-gamepad, Games, The Gamepad API from Mozilla provides new events on a Window object for reading gamepad and controller state. It also enables the ability to query the state of connected gamepads with an added...
413, Cilenis,https://www.programmableweb.com/api/cilenis, Tools, Cilenis is a language analysis service that helps users to analyze and extract information of texts. The Cilensis API allows users to integrate language technology into a users software using a cloud...
414, AppLamp Wifi LED,https://www.programmableweb.com/api/applamp-wifi-led, Tools, The AppLamp Wifi LED lighting is a way to control your home LED lights with an APP from a smartphone or tablet. The API is a javascript API that can send commands to the AppLamp Wife Box over UDP. It...
415, Driving-Distances,https://www.programmableweb.com/api/driving-distances, Tools," This collection of distance calculators, route planners, and other travel-related calculators, uses postcodes and ZIP Codes to make its calculations. Primarily for the United Kingdom, the service..."
416, ESA Semantic Relatedness,https://www.programmableweb.com/api/esa-semantic-relatedness, Tools," Amtera helps organizations conduct semantic searches through its Esprit Search Platform product, and helps them manage online marketing campaigns through its Sentient Web Marketing product. It also..."
417, OneNote,https://www.programmableweb.com/api/onenote, Tools," Microsoft OneNote is a notebook tool, subdivided into sections and pages, where users can jot down and organize notes, insert images, online content and drawings, and also record audio or video...."
418, Scalyr Logs,https://www.programmableweb.com/api/scalyr-logs, Tools," Scalyr Logs is a real-time, cloud-hosted server log monitoring service. It brings all of the user's event logs together in one place and then structures and parses their data for searching and..."
419, jsDelivr,https://www.programmableweb.com/api/jsdelivr, Tools," jsDelivr is a free, public, open-source CDN (content delivery network) that offers JavaScript libraries, jQuery plugins, fonts, CSS frameworks, and more. Anyone can submit a project to jsDelivr for..."
420, RealFaviconGenerator,https://www.programmableweb.com/api/realfavicongenerator, Tools," RealFaviconGenerator is a service for creating favicons that will work across multiple platforms. Favicons are provided for use with desktop PCs and Macs as well as for iOS, Android, and other mobile..."
421, UPS TradeAbility,https://www.programmableweb.com/api/ups-tradeability, Shipping," UPS TradeAbility APIs manage the trade issues that occur with international shipping. They provide information and services in real-time, with up-to-date regulations and licensing information, watch..."
422, UPS Time in Transit,https://www.programmableweb.com/api/ups-time-transit, Shipping, The UPS Time in Transit API allows businesses to include complete shipping transit time information on their websites and e-commerce applications. Customers can view time information on all...
423, UPS Signature Tracking,https://www.programmableweb.com/api/ups-signature-tracking, Shipping, UPS Signature Tracking API provides Proof of Delivery (P.O.D.) with a digital signature and full delivery address. This information is provided in seconds and enables companies to have a shorter...
424, UPS Quantum View,https://www.programmableweb.com/api/ups-quantum-view, Shipping," The UPS Quantum View API provides various shipping information including: shipment manifest information, status updates, and event alerts for inbound and outbound shipments. Businesses can see..."
425, UPS Locator,https://www.programmableweb.com/api/ups-locator, Shipping, The UPS Locator API provides developers a way to include a search for UPS shipping locations into applications. The search is based on type and available services and can find the following types of...
426, UPS Gemini,https://www.programmableweb.com/api/ups-gemini, Shipping," The UPS Gemini APIs enable easy and quick information organization. With these APIs you can automate order management and processing, calculate rates, generate labels and documentation, search orders..."
427, UPS Rating,https://www.programmableweb.com/api/ups-rating, Shipping," UPS Rating API identifies all UPS services available, domestic and international, and displays rates catered to package specifications. Customers can compare, rate, and select the most fitting..."
428, UPS Address Validation-Street Level,https://www.programmableweb.com/api/ups-address-validation-street-level, Shipping," UPS Address Validation Street Level ensures that shipping addresses are valid. With this API, if there is an error in the shipping address, a list of potential valid addresses is provided. Address..."
429, UPS Address Validation,https://www.programmableweb.com/api/ups-address-validation, Shipping," UPS Address Validation allows programmers to code and integrate UPS functionality into business applications and e-commerce websites.
This API ensures that shipping addresses are valid. If there is..."
430, NYPL Digital Collections,https://www.programmableweb.com/api/nypl-digital-collections, Search," NYPL Digital Collections API provides access to portions of the New York Public Library's digitized collections. They are available as machine-readable data records that users can search, crawl, and..."
431, Trulioo,https://www.programmableweb.com/api/trulioo, Security," Trulioo provides social identity information for businesses to verify their users. It detects spammers, determines legitimate registration, and authenticates users. Supports most major social..."
432, Wix,https://www.programmableweb.com/api/wix, Tools," Wix is a web development platform for users to create Flash and HTML5 websites, mobile sites, and customized Facebook pages. It is cloud-based and utilizes drag and drop tools.
The Wix API gives..."
433, Slack Web,https://www.programmableweb.com/api/slack-web, Tools," Slack is a tool for managing team communications. Slack brings together all of a team's messages, files, and posts from Twitter, Dropbox, Trello, Google Docs, GitHub, and other services in one place..."
434, Desmos,https://www.programmableweb.com/api/desmos, Tools," Desmos provides users with a free in-browser graphing calculator built on HTML5 technology. This calculator is capable of quickly plotting any equation, from the simple to the complex. Additional..."
435, Beats Music,https://www.programmableweb.com/api/beats-music, Music," Beats Music is a music curation service that allows users to input location, mood, company, and the service streams music that it thinks will fit the situation. It will also help users develop..."
436, Alertra,https://www.programmableweb.com/api/alertra, Tools," Alertra is a website monitoring service that notifies users via phone call or SMS when an outage or slowdown occurs with their websites, servers, or routers. It also has with the unique ability to..."
437, Kairos Facial Recognition,https://www.programmableweb.com/api/kairos-facial-recognition, Photos," Kairos is a facial recognition API that allows users to integrate advanced security features into their applications and services. There are four API methods detailed in the documentation, including..."
438, OpenGraph Hybrid,https://www.programmableweb.com/api/opengraph-hybrid, Tools, OpenGraph.io way to get Open Graph information from websites. Many sites still do not provide OG tags so the OpenGraph site utilizers spiders to search sites for graph available data. The OpenGraph...
439, Everything Fonts,https://www.programmableweb.com/api/everything-fonts, Tools," EverythingFonts provides a font conversion tool, a directory of fonts, a font marketplace for having font work done, and other font tools. The Everything Fonts font conversion API allows users to..."
440, Sumnotes,https://www.programmableweb.com/api/sumnotes, Tools, Sumnotes is a PDF and note taking service that allows users to upload PDFs and the site will extract any notes or highlights into a separate document. This API allows you to extract annotations and...
441, Srch.io,https://www.programmableweb.com/api/srchio, Search," Srch.io is a website of search tools that allows users to add search tools into third-party websites, as well as add sitemaps. The Srch.io API allows users to access site maps, feeds, URLs, Account..."
442, Webpage Analyse,https://www.programmableweb.com/api/webpage-analyse, Tools," Webpage Analyse is a free website analysis tool that collects, analyzes, and processes domain-related information from a variety of sources. They also offer independent tools for discovering whois..."
443, Amplitude,https://www.programmableweb.com/api/amplitude, Tools, Amplitude is a mobile analytics platform. Amplitude provides data and statistics and information about mobile applications to inform decision making by the mobile application publishers and...
444, IPTranslator,https://www.programmableweb.com/api/iptranslator, Tools," IPTranslator, by Iconic Translation Machines Ltd., provides high-quality domain-adapted cloud-based machine translation solutions for the Language Services Industry. These machines are adapted to..."
445, apis.is,https://www.programmableweb.com/api/apisis, Tools," Apis.is is an Icelandic web service that scrapes open data from public websites, providing developer access to various types of Icelandic data. Examples of available data include Icelandic company..."
446, AYLIEN Text Analysis,https://www.programmableweb.com/api/aylien-text-analysis, Tools," The AYLIEN Text Analysis API consists of eight distinct Natural Language Processing, Information Retrieval, and Machine Learning APIs which, when combined, allow developers to extract meaning and..."
447, Joomag,https://www.programmableweb.com/api/joomag, Tools, Joomag provides digital interactive magazine publishing and hosting services to individuals and organizations of all sizes. The Joomag API allows 3rd party applications to programmatically create...
448, Tran.sl,https://www.programmableweb.com/api/transl, Tools," Tran.sl is a human translation service that users can integrate into their own applications and services. When users publish their content, they can send it to Tran.sl where at least two people will..."
449, Rigor Monitoring,https://www.programmableweb.com/api/rigor-monitoring, Tools," Rigor is a real-time performance monitoring service for websites, applications, and APIs. It monitors user flows and business transactions, enabling users to identify issues before their end users..."
450, IPv4,https://www.programmableweb.com/api/ipv4, Tools, IPv4.cf is a free IP Lookup service for non-commercial use. Ipv4.cf provides a public free REST API for doing a lot of Geotargeting or IP Address Lookups through multiple response formats. It...
451, NoteHub,https://www.programmableweb.com/api/notehub, Tools," NoteHub is a free, anonymous pastebin designed specifically to provide one-off publishing for Markdown pages. Users can specify a font and color scheme for each page. Pages come with their own short..."
452, CocoaPods,https://www.programmableweb.com/api/cocoapods, Tools," CocoaPods is a dependency manager for Objective-C. It can handle cross-dependency resolution, semantic version managements, and automatic integration. CocoaPods does not automatically resolve..."
453, BahaQuote,https://www.programmableweb.com/api/bahaquote, Financial," Bahaquote is an invoicing and expensing service that provides users with access to online invoicing, expense monitoring, mobile access, email marketing, and other features. The Bahaquote platform can..."
454, Populr,https://www.programmableweb.com/api/populr, Web Site Management," Populr is a platform that allows users to create websites for anything quickly. Users can create web pages for anything, share the link, and track the link.
The Populr API allows developers to..."
455, Project Sunblock,https://www.programmableweb.com/api/project-sunblock, Advertising," Project Sunblock is a content verification tool that offers brand safety for digital advertisers on the web. The tool monitors and protects online brands by combining content analysis, image..."
456, SatisfactionHub,https://www.programmableweb.com/api/satisfactionhub, Tools, SatisfactionHub is a satisfaction survey and site metrics tool for websites. The service aims to help users grow their customer base by measuring customer satisfaction and encouraging fans to spread...
457, atama,https://www.programmableweb.com/api/atama, Tools," Atama is a UK based company that focuses on developing app-enabled products that work with smartphones. Current products include Seasame, a wireless lock that automatically locks your Mac computer..."
458, Databox,https://www.programmableweb.com/api/databox, Tools," Databox is a data connection and dashboard service. Databox provides features that allow users to connect to datasources, visualize data, and analyze data.
The Databox API allows developers to..."
459, PLACEHOLD.IT,https://www.programmableweb.com/api/placeholdit, Application Development," PLACEHOLD.IT is a web service providing customizable image placeholders. PLACEHOLD.IT accepts simple HTTP calls allowing developers to specify dimensions, format, custom text, and background and text..."
460, Gender,https://www.programmableweb.com/api/gender, Tools, The Gender API uses data collected from publicly-available government resources and crawled from social networks to enable users to automatically determine customers' genders based on their names....
461, GrabzIt,https://www.programmableweb.com/api/grabzit, Tools," The GrabzIt API allows developers to create website previews, thumbnails, or full page screenshots. It can also convert web pages into PDF documents and HTML code into images, PDFs, and Word..."
462, JPG Optimiser,https://www.programmableweb.com/api/jpg-optimiser, Tools," JPG Optimiser is a simple tool that allows users to reduce the size of JPG image files without reducing the images' quality. Users can upload an image for size reduction on the website, or they can..."
463, PNG Crush,https://www.programmableweb.com/api/png-crush, Tools," PNG Crush is a simple tool that allows users to reduce the size of PNG image files without reducing the images' quality. Users can upload an image directly to the site for ""crushing,"" or they can do..."
464, CSS Minifier,https://www.programmableweb.com/api/css-minifier, Tools, CSS Minifier is a simple tool for removing all unnecessary characters from the input CSS code without compromising its functionality. Users can shorten their code on the website by pasting it into...
465, TidyStock,https://www.programmableweb.com/api/tidystock, Tools," TidyStock is an inventory management service that provides clients with the tools to managed stock using best practice accounting, perpetual stock method and average cost, track unmanaged stock â€“..."
466, License Direct,https://www.programmableweb.com/api/license-direct, Tools," License Direct is an application that allows users to verify the registration status of over 15 million licensed professionals throughout the USA.
The License Direct API can be integrated and used..."
467, Statwing,https://www.programmableweb.com/api/statwing, Tools," Statwing is a data analysis tool. Statwing provides various data analysis and visualization features.
The Statwing API allows developers to access and integrate the functionality of Statwing with..."
468, HinKhoj Hindi TextPad,https://www.programmableweb.com/api/hinkhoj-hindi-textpad, Tools," HinKhoj Hindi TextPad is a service that allows users to add text boxes to their sites that make it easier for users to enter Hindi-language text. Users can type using a standard keyboard, and the..."
469, SpeedOf.Me,https://www.programmableweb.com/api/speedofme, Tools, SpeedOf.Me is an internet speed testing service written in HTML5 rather than Flash or Java. It works on both desktop and mobile devices without requiring the user to download an app. It provides a...
470, JavaScript Minifier,https://www.programmableweb.com/api/javascript-minifier, Tools, JavaScript Minifier is a simple tool for removing all unnecessary characters from the user's JavaScript code without compromising its functionality. Users can minify their code on the website by...
471, USPS Domestic Rates,https://www.programmableweb.com/api/usps-domestic-rates, Shipping, The USPS Domestic Rates API allows developers to calculate the rates for domestic packages and envelopes based on their weight and dimensions. Developers can request data for up to twenty-five...
472, TSYS,https://www.programmableweb.com/api/tsys, Payments," TSYS is a payment acceptance service that provides a services from payment processing and merchant services, to gift card servicing and exchange rate payment services. The TSYS API allows users to..."
473, FarmSense,https://www.programmableweb.com/api/farmsense, Tools," FarmSense creates digital tools for DIY farmers, delivered via API. The FarmSense API currently delivers three services.
â€¢ Day Lengths returns a JSON string of solar data for a specified place and..."
474, Captain Pass,https://www.programmableweb.com/api/captain-pass, Tools," Captain Pass is a web service allowing businesses to build, distribute, and manage PassBook Passes. The Captain Pass API provides a RESTful interface for creating, delivering, and updating passes...."
475, Robust Links,https://www.programmableweb.com/api/robust-links, Tools," Robust Links indexes online knowledge repositories such as Wikipedia or the U.S. Census. Robust Links offers several services derived from this indexed data, some of which are exposed via API...."
476, FlatTurtle Reservations,https://www.programmableweb.com/api/flatturtle-reservations, Tools," FlatTurtle provides digital signage that visualizes location-based data for office buildings, shopping centers, apartment buildings and other customers. The FlatTurtle Reservations API allows..."
477, Health of Iceland,https://www.programmableweb.com/api/health-iceland, Tools," Health of Iceland is a site dedicated to real-time monitoring of various metrics important to Icelandic society. These metrics include radiation levels, on-line services availability, public..."
478, ID.me,https://www.programmableweb.com/api/idme, Verification," ID.me is digital verification service that allows users to validate their group affiliations and memberships online to get access to exclusive benefits.
The ID.me API allows developers to access..."
479, Croar.net RGB Picker,https://www.programmableweb.com/api/croarnet-rgb-picker, Widgets, Croar.net provides a simple RGB color picker widget that users can add to any webpage by inserting a few lines of JavaScript code. A demo of this widget is available with the documentation. The Croar...
480, Croar.net Calculator,https://www.programmableweb.com/api/croarnet-calculator, Widgets, Croar.net provides a simple JavaScript API that allows users to insert a calculator into any webpage using a couple lines of JavaScript code. A demo page is provided to show what the calculator looks...
481, American Bible Society Journeys Registration,https://www.programmableweb.com/api/american-bible-society-journeys-registration, Tools," For nearly 200 years the American Bible Society has worked alongside ministry partners, Christian churches, and national Bible societies to share the Bibleâ€™s message. Journeys is an American Bible..."
482, RBL Watcher,https://www.programmableweb.com/api/rbl-watcher, Tools, RBL Watcher allows users to check and monitor IP addresses against 77 Real-time Blackhole Lists (RBLs). These are lists of IP addresses linked to activities such as spamming. Developers can use the...
